"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"111317","124079","2","350.00","4","345.50","10","650.00","2","48.49","18","1393.99",".00","345.50","48.49","2658.98","3052.97",".00",".00",".00",".00",".00","","{6FF82E80-31A5-AF73-ED81-25E93C368843}"
"111319","124081","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","562.45",".00","562.45",".00","562.45","","{AD079355-ECD7-7B0C-C595-14FF4875E4FC}"
"111320","124082","1","160.00","0",".00","0",".00","0",".00","1","160.00",".00",".00",".00","16.83","16.83","818.00",".00","818.00",".00","818.00","","{F6134D69-B57E-96A0-8752-3D91A0B9EC74}"
"111323","124085","1","300.00","0",".00","0",".00","0",".00","1","300.00",".00",".00",".00","258.38","258.38",".00",".00",".00",".00",".00","","{7A6D433D-1E13-1446-1748-2FC1249325AF}"
"111324","124086","2","2000.00","0",".00","0",".00","0",".00","2","2000.00",".00",".00",".00","1046.65","1046.65",".00",".00",".00",".00",".00","","{16C8F701-7D75-3030-7830-92467B7A56D3}"
"111327","124089","2","20459.37","0",".00","0",".00","0",".00","2","20459.37",".00",".00",".00","22000.00","22000.00",".00",".00",".00",".00",".00","","{F9298842-4748-DD5E-CFF3-60D0828E419C}"
"111328","124090","1","1400.00","0",".00","0",".00","0",".00","1","1400.00",".00",".00",".00","1247.73","1247.73",".00",".00",".00",".00",".00","","{53793561-64CA-858F-026E-6871E8B0D971}"
"111329","124091","61","3148.81","0",".00","61","2126.50","0",".00","122","5275.31",".00",".00",".00","6943.14","6943.14",".00",".00",".00",".00",".00","","{0971FAFB-865F-1DB4-A649-511E5696C3AD}"
"111330","124092","152","11726.02","0",".00","1148","5793.67","0",".00","1300","17519.69","395.88",".00",".00","39358.33","39358.33",".00",".00",".00",".00",".00","","{17EA3481-A9EF-6B39-C10C-EF0A01D861E5}"
"111331","124093","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","5.00",".00","5.00",".00","5.00","","{856A6418-FAED-D4EC-D4F6-C62F4BEFD52B}"
"111336","124098","11","9760.00","0",".00","19","785.00","1","19.10","31","10564.10",".00",".00","19.10","9201.47","9220.57","3136.00",".00","3136.00",".00","3136.00","","{19EC72CE-4901-961D-BD9F-FC6ABC3C3C14}"
"111337","124099","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{FD6B4E7A-E782-44DC-4530-50CED9FA9DA9}"
"111338","124100","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","39.00","39.00",".00",".00",".00",".00",".00","","{DFAA4C4D-9DCA-A17C-D4E0-4E75030D5FEE}"
"111339","124101","33","58725.00","0",".00","0",".00","0",".00","33","58725.00","8.14",".00",".00","131494.82","131494.82",".00",".00",".00",".00",".00","","{2C1880C8-8E86-FD4D-0D6D-5E1B946F3464}"
"111340","124102","77","62125.00","0",".00","30","1857.00","0",".00","107","63982.00","15.87",".00",".00","70332.95","70332.95",".00",".00",".00",".00",".00","","{606CF386-47E2-92B7-0790-A86D78093BEA}"
"111341","124103","0",".00","0",".00","2","75.00","0",".00","2","75.00",".00",".00",".00","297.05","297.05",".00",".00",".00",".00",".00","","{833657A3-13F2-F36A-FEDF-00339082A704}"
"111343","124105","0",".00","0",".00","14","754.00","0",".00","14","754.00",".00",".00",".00","1394.73","1394.73","1700.00",".00","1700.00",".00","1700.00","","{EFB7C4F4-CBE9-FA6A-1F6D-AF018D5F2545}"
"111344","124106","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","9225.00",".00","9225.00",".00","9225.00","","{E120CC76-10BA-1112-0AB4-51C24B8207D0}"
"111346","124108","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A5BE8BF9-08C3-67CD-DF4F-F6FF7859D684}"
"111347","124110","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{F290BB32-BA51-48BF-A9C0-BC3ADD2662F9}"
"111349","124111","3","29330.63","0",".00","0",".00","0",".00","3","29330.63","1000.00",".00",".00","31297.17","31297.17",".00",".00",".00",".00",".00","","{7AD93DAF-1ED1-2A2F-503E-277171774464}"
"111357","124122","0",".00","0",".00","1","25.00","0",".00","1","25.00",".00",".00",".00","380.44","380.44",".00",".00",".00",".00",".00","","{E52DDCF2-77BF-319A-6A8A-07630630A902}"
"111360","124128","1","3000000.00","0",".00","0",".00","0",".00","1","3000000.00",".00",".00",".00","4114720.64","4114720.64",".00",".00",".00",".00",".00","","{8A41368B-BD77-86C5-E811-17CECA78BCA6}"
"111363","124132","37","13206.70","1","145.00","13","978.00","0",".00","51","14329.70",".00","145.00",".00","1723.08","1868.08",".00",".00",".00",".00",".00","","{AB17483F-F2F9-3A96-23C8-A826087CE32E}"
