"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"85348","93063","4135.83","9179.21",".00",".00","9179.21","13315.04","5583.21",".00",".00","5583.21","7731.83",".00",".00","30685.29","9179.21","39864.50","39864.50","26549.46","5583.21","32132.67","7731.83","","{DA8D7602-6CDD-A1EB-2748-6850EC092251}"
"85350","93065","6053.13","250.00",".14","4934.26","5184.40","11237.53","1462.20",".00",".00","1462.20","9775.33","10934.26",".00","6466.45","5184.40","11650.85","11650.85","413.32","1462.20","1875.52","9775.33","","{147B2F3A-EB14-F829-485D-91E99D71AA17}"
"85351","93066",".00","490.00",".00",".00","490.00","490.00","130.00",".00",".00","130.00","360.00",".00",".00",".00","490.00","490.00","490.00",".00","130.00","130.00","360.00","","{11251175-7B4D-3DBE-C65B-82AED5FD0F1E}"
"85358","93073","39.12",".00",".00",".00",".00","39.12",".00",".00",".00",".00","39.12","950.00",".00","2900.00",".00","2900.00","2900.00","2860.88",".00","2860.88","39.12","","{60C0425D-C5AE-D813-6517-8ED3D850FC29}"
"85360","93075","54.27",".00",".00",".00",".00","54.27","24.00",".00",".00","24.00","30.27","3675.00",".00","9121.47",".00","9121.47","9121.47","9067.20","24.00","9091.20","30.27","","{CA6FEC01-C8DC-27D7-5913-CA513C493D9D}"
"85365","93080","560.00","1500.00",".00",".00","1500.00","2060.00",".00",".00",".00",".00","2060.00",".00",".00","560.00","1500.00","2060.00","2060.00",".00",".00",".00","2060.00","","{DFB6F4FF-B4FB-0AA8-7A9C-987B5021E30F}"
"85368","93083","333.85",".00",".00","20000.00","20000.00","20333.85","7589.25",".00",".00","7589.25","12744.60","58000.00","333.85",".00","20000.00","20000.00","20333.85",".00","7589.25","7589.25","12744.60","","{E6D09E89-4EAB-20A3-9468-DE01F13CA5D5}"
"85369","93084",".00","100.00",".00",".00","100.00","100.00","69.96",".00",".00","69.96","30.04",".00",".00",".00","100.00","100.00","100.00",".00","69.96","69.96","30.04","","{BC8004BB-49AD-B538-E477-F5211B4D0127}"
"85376","93094","150.00",".00",".00",".00",".00","150.00",".00",".00",".00",".00","150.00",".00",".00","1178.98",".00","1178.98","1178.98","1028.98",".00","1028.98","150.00","","{448BD848-A9C2-E0B7-D547-EC827784C075}"
"85377","93096","1047.52","500.00",".00",".00","500.00","1547.52","1329.58",".00",".00","1329.58","217.94","1925.00",".00","2430.00","500.00","2930.00","2930.00","1382.48","1329.58","2712.06","217.94","","{A8813A88-DBF3-776F-8A7A-5EACA98D8AD8}"
"85379","93099","41999.81","57142.78",".23",".00","57143.01","99142.82","52307.70",".00",".00","52307.70","46835.12",".00","11191.32","55643.40","57143.01","112786.41","123977.73","24834.91","52307.70","77142.61","46835.12","","{773AC56E-CF4D-B959-540B-BF8B3EA715DD}"
"85385","93106",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","104.65",".00","104.65","104.65","104.65",".00","104.65",".00","","{6DBF4C47-C21B-BC46-2CE3-F62C34C9AB93}"
"85387","93109","10.00",".00",".00",".00",".00","10.00",".00",".00",".00",".00","10.00",".00",".00","10.00",".00","10.00","10.00",".00",".00",".00","10.00","","{73C57B7C-5581-3902-347B-FA0D53F94A3B}"
"85388","93110","10.00",".00",".00",".00",".00","10.00",".00",".00",".00",".00","10.00",".00",".00","10.00",".00","10.00","10.00",".00",".00",".00","10.00","","{09ADCF2C-5B11-8A18-060E-95EEAE58387E}"
"85389","93111","47.01",".00",".00",".00",".00","47.01",".00",".00",".00",".00","47.01",".00","47.01",".00",".00",".00","47.01",".00",".00",".00","47.01","","{9B672539-C842-3903-D962-94CAF222753A}"
"85390","93112","124.24",".00",".00",".00",".00","124.24",".00",".00",".00",".00","124.24","21.88","304.18",".06",".00",".06","304.24","180.00",".00","180.00","124.24","","{63674743-678E-A61D-3CE9-0ECDA1C01501}"
"85391","93113","85.05",".00",".00",".00",".00","85.05",".00",".00",".00",".00","85.05",".00","185.05",".00",".00",".00","185.05","100.00",".00","100.00","85.05","","{DAEC8FD2-AA54-80A0-D9DF-DD18C040014B}"
"85392","93114","7718.02","5601.00",".00",".00","5601.00","13319.02","5547.62",".00",".00","5547.62","7771.40",".00",".00","8629.21","5601.00","14230.21","14230.21","911.19","5547.62","6458.81","7771.40","","{C014944F-FC4B-7CFC-A388-326C8169BB38}"
